trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.6, 'e': 3.863995917804566e-20}",20,6,23.735082197041216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.6, 'e': 2.8625185805494e-20}",20,10,16.094810222604593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.6, 'e': 2.1206059215109633e-20}",25,7,25.048847906687513,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.6, 'e': 1.5709835055408665e-20}",20,0,15.475609456382992,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.6, 'e': 1.1638132052951123e-20}",20,0,15.898889346764097,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.6, 'e': 8.62174027952612e-21}",25,2,31.80429740823838,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.6, 'e': 6.387142293058437e-21}",25,0,6.206168913440971,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
156,False,"{'a': 0.6, 'e': 4.731711388784499e-21}",30,15,29.921297933265638,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 3.5053380118187524e-21}",20,0,31.42015538877588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.6, 'e': 2.596818268803559e-21}",25,0,30.223891780336224,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.6, 'e': 1.9237702893288316e-21}",25,0,-6.808371721420217,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
160,False,"{'a': 0.6, 'e': 1.4251640827409385e-21}",20,0,25.311929753938784,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.6, 'e': 1.0557875199556346e-21}",25,0,35.32434395367301,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.6, 'e': 7.821466319514969e-22}",30,1,41.65431788385229,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.6, 'e': 5.794284761945064e-22}",20,13,12.470946516859822,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.6, 'e': 4.292511727467334e-22}",20,0,28.937442206516987,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.6, 'e': 3.1799709001977575e-22}",25,18,12.576845018957044,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 2.3557803841041435e-22}",25,0,23.355605090154434,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.6, 'e': 1.7452050324689254e-22}",20,0,-55.519452059220264,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
168,False,"{'a': 0.6, 'e': 1.292879686878409e-22}",20,13,10.85034178314125,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 9.577888291887995e-23}",25,0,28.102061647396358,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.6, 'e': 7.095474162284722e-23}",35,19,24.281131320971305,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.6, 'e': 5.256456543796871e-23}",30,0,41.502623348251305,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.6, 'e': 3.89407878386637e-23}",25,0,30.832405400863593,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.6, 'e': 2.884804515858312e-23}",25,0,32.49476231646302,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.6, 'e': 2.1371157484527394e-23}",25,8,6.358673461352335,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.6, 'e': 1.5832142861596362e-23}",20,0,24.396334905973198,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.6, 'e': 1.1728739904306578e-23}",30,0,-8.30301128168046,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
177,False,"{'a': 0.6, 'e': 8.68886422674706e-24}",20,0,28.796774562204245,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.6, 'e': 6.436868936203788e-24}",20,16,8.322004857683169,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.6, 'e': 4.768549792079912e-24}",20,13,14.445435505150167,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
